   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    小金口,         -,     11:10,         -,         -,         -,         -,               -,              -
  2,      云山,     11:16,     11:17,      01分,         6,         0,       -/-,           -/-/-,            -/-
  3,    西湖东,     11:21,     11:22,      01分,        11,         0,       -/-,           -/-/-,            -/-
  4,      龙丰,     11:25,     11:26,      01分,        15,         0,       -/-,           -/-/-,            -/-
  5,      惠环,     11:31,     11:32,      01分,        21,         0,       -/-,           -/-/-,            -/-
  6,      仲恺,     11:36,     11:37,      01分,        26,         0,       -/-,           -/-/-,            -/-
  7,    沥林北,     11:45,     11:46,      01分,        35,         0,       -/-,           -/-/-,            -/-
  8,      银瓶,     11:51,     11:52,      01分,        41,         0,       -/-,           -/-/-,            -/-
  9,  樟木头东,     11:56,     11:57,      01分,        46,         0,       -/-,           -/-/-,            -/-
 10,    常平东,     12:03,     12:03,      00分,        53,         0,       -/-,           -/-/-,            -/-
