   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    峨眉山,         -,     18:40,         -,         -,         -,         -,               -,              -
  2,      乐山,     18:55,     18:57,      02分,        15,         0,      11/-,           -/-/-,            -/-
  3,    新津南,     19:29,     19:31,      02分,        49,         0,      45/-,           -/-/-,            -/-
  4,  双流机场,     19:45,     19:47,      02分,        65,         0,      56/-,           -/-/-,            -/-
  5,    成都南,     19:58,     20:00,      02分,        78,         0,      62/-,           -/-/-,            -/-
  6,    成都东,     20:10,     20:20,      10分,        90,         0,      65/-,           -/-/-,            -/-
  7,    新都东,     20:33,     20:35,      02分,       113,         0,      73/-,           -/-/-,            -/-
  8,      德阳,     20:54,     20:57,      03分,       134,         0,      91/-,           -/-/-,            -/-
  9,      绵阳,     21:17,     21:20,      03分,       157,         0,     110/-,           -/-/-,            -/-
 10,      江油,     21:39,     21:39,      00分,       179,         0,     126/-,           -/-/-,            -/-
