   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      肇庆,         -,     18:39,         -,         -,         -,         -,               -,              -
  2,      端州,     18:45,     18:46,      01分,         6,         0,       -/-,           -/-/-,            -/-
  3,    鼎湖山,     18:52,     18:53,      01分,        13,         0,       -/-,           -/-/-,            -/-
  4,    鼎湖东,     18:58,     18:59,      01分,        19,         0,       -/-,           -/-/-,            -/-
  5,      四会,     19:06,     19:07,      01分,        27,         0,       -/-,           -/-/-,            -/-
  6,      大旺,     19:11,     19:12,      01分,        32,         0,       -/-,           -/-/-,            -/-
  7,    云东海,     19:16,     19:17,      01分,        37,         0,       -/-,           -/-/-,            -/-
  8,    三水北,     19:24,     19:25,      01分,        45,         0,       -/-,           -/-/-,            -/-
  9,    狮山北,     19:30,     19:31,      01分,        51,         0,       -/-,           -/-/-,            -/-
 10,      狮山,     19:35,     19:36,      01分,        56,         0,       0/-,           -/-/-,            -/-
 11,      广州,     20:05,     20:05,      00分,        86,         0,       -/-,           -/-/-,            -/-
