   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    咸宁南,         -,     18:12,         -,         -,         -,         -,               -,              -
  2,  横沟桥东,     18:19,     18:21,      02分,         7,         0,       5/-,           -/-/-,            -/-
  3,  贺胜桥东,     18:27,     18:29,      02分,        15,         0,       8/-,           -/-/-,            -/-
  4,    山坡东,     18:35,     18:37,      02分,        23,         0,      11/-,           -/-/-,            -/-
  5,    纸坊东,     18:49,     18:52,      03分,        37,         0,      20/-,           -/-/-,            -/-
  6,      庙山,     18:58,     19:01,      03分,        46,         0,      23/-,           -/-/-,            -/-
  7,    汤逊湖,     19:06,     19:09,      03分,        54,         0,      25/-,           -/-/-,            -/-
  8,    南湖东,     19:14,     19:16,      02分,        62,         0,      25/-,           -/-/-,            -/-
  9,      武昌,     19:30,     19:35,      05分,        78,         0,      30/-,           -/-/-,            -/-
 10,      汉口,     19:55,     19:55,      00分,       103,         0,      36/-,           -/-/-,            -/-
