   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      武昌,         -,     15:26,         -,         -,         -,         -,               -,              -
  2,    南湖东,     15:38,     15:40,      02分,        12,         0,       5/-,           -/-/-,            -/-
  3,    汤逊湖,     15:45,     15:47,      02分,        19,         0,       6/-,           -/-/-,            -/-
  4,      庙山,     15:52,     15:54,      02分,        26,         0,       8/-,           -/-/-,            -/-
  5,      普安,     15:57,     15:59,      02分,        31,         0,       8/-,           -/-/-,            -/-
  6,    纸坊东,     16:05,     16:07,      02分,        39,         0,      10/-,           -/-/-,            -/-
  7,  乌龙泉南,     16:13,     16:15,      02分,        47,         0,      14/-,           -/-/-,            -/-
  8,    山坡东,     16:24,     16:26,      02分,        58,         0,      20/-,           -/-/-,            -/-
  9,  贺胜桥东,     16:32,     16:34,      02分,        66,         0,      22/-,           -/-/-,            -/-
 10,  横沟桥东,     16:41,     16:43,      02分,        75,         0,      26/-,           -/-/-,            -/-
 11,    咸宁东,     16:49,     16:51,      02分,        83,         0,      29/-,           -/-/-,            -/-
 12,    咸宁南,     16:57,     16:57,      00分,        91,         0,      30/-,           -/-/-,            -/-
