   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    常平东,         -,     09:20,         -,         -,         -,         -,               -,              -
  2,  樟木头东,     09:25,     09:26,      01分,         5,         0,       -/-,           -/-/-,            -/-
  3,      银瓶,     09:30,     09:31,      01分,        10,         0,       -/-,           -/-/-,            -/-
  4,    沥林北,     09:36,     09:37,      01分,        16,         0,       -/-,           -/-/-,            -/-
  5,      仲恺,     09:45,     09:46,      01分,        25,         0,       -/-,           -/-/-,            -/-
  6,      惠环,     09:50,     09:51,      01分,        30,         0,       -/-,           -/-/-,            -/-
  7,      龙丰,     09:56,     09:57,      01分,        36,         0,       -/-,           -/-/-,            -/-
  8,    西湖东,     10:00,     10:01,      01分,        40,         0,       -/-,           -/-/-,            -/-
  9,      云山,     10:05,     10:06,      01分,        45,         0,       -/-,           -/-/-,            -/-
 10,    小金口,     10:13,     10:13,      00分,        53,         0,       -/-,           -/-/-,            -/-
