   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    小金口,         -,     18:50,         -,         -,         -,         -,               -,              -
  2,      云山,     18:56,     18:57,      01分,         6,         0,       -/-,           -/-/-,            -/-
  3,    西湖东,     19:01,     19:02,      01分,        11,         0,       -/-,           -/-/-,            -/-
  4,      龙丰,     19:05,     19:06,      01分,        15,         0,       -/-,           -/-/-,            -/-
  5,      惠环,     19:11,     19:12,      01分,        21,         0,       -/-,           -/-/-,            -/-
  6,      仲恺,     19:16,     19:17,      01分,        26,         0,       -/-,           -/-/-,            -/-
  7,    沥林北,     19:25,     19:26,      01分,        35,         0,       -/-,           -/-/-,            -/-
  8,      银瓶,     19:31,     19:32,      01分,        41,         0,       -/-,           -/-/-,            -/-
  9,  樟木头东,     19:36,     19:37,      01分,        46,         0,       -/-,           -/-/-,            -/-
 10,    常平东,     19:43,     19:43,      00分,        53,         0,       -/-,           -/-/-,            -/-
