   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      榆树,         -,     14:03,         -,         -,         -,         -,               -,              -
  2,    刘家店,     14:29,     14:31,      02分,        26,         0,       3/-,           -/-/-,            -/-
  3,    五棵树,     14:48,     14:50,      02分,        45,         0,       3/-,           -/-/-,            -/-
  4,    陶赖昭,     15:19,     15:22,      03分,        76,         0,       4/-,           -/-/-,            -/-
  5,      姚家,     15:31,     15:33,      02分,        88,         0,       5/-,           -/-/-,            -/-
  6,    达家沟,     15:46,     15:48,      02分,       103,         0,       6/-,           -/-/-,            -/-
  7,      德惠,     16:01,     16:05,      04分,       118,         0,     7.5/-,           -/-/-,            -/-
  8,      布海,     16:19,     16:21,      02分,       136,         0,     8.5/-,           -/-/-,            -/-
  9,      沃皮,     16:35,     16:37,      02分,       152,         0,    10.5/-,           -/-/-,            -/-
 10,    米沙子,     16:46,     16:48,      02分,       163,         0,    11.5/-,           -/-/-,            -/-
 11,      长春,     17:46,     17:46,      00分,       223,         0,    13.5/-,           -/-/-,            -/-
