   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      阳泉,         -,     11:16,          ,         0,         0,       -/-,           -/-/-,           -/-
  2,    娘子关,     12:06,     12:08,       2分,        50,        39,       -/-,           -/-/-,           -/-
  3,      井陉,     12:44,     12:46,       2分,        88,        69,       -/-,           -/-/-,           -/-
  4,  石家庄北,     13:37,     13:49,      12分,       141,       106,    24.5/-,  58.5/61.5/63.5,           -/-
  5,      藁城,     14:18,     14:23,       5分,       182,       153,       -/-,           -/-/-,           -/-
  6,      晋州,     14:37,     14:40,       3分,       201,       170,       -/-,           -/-/-,           -/-
  7,      辛集,     14:55,     14:58,       3分,       219,       191,       -/-,           -/-/-,           -/-
  8,    前磨头,     15:17,     15:19,       2分,       241,       218,       -/-,           -/-/-,           -/-
  9,      衡水,     15:40,     15:54,      14分,       264,       238,       -/-,           -/-/-,           -/-
 10,      枣强,     16:16,     16:25,       9分,       300,       269,       -/-,           -/-/-,           -/-
 11,    大营镇,     16:39,     16:43,       4分,       323,       289,       -/-,           -/-/-,           -/-
 12,    南宫东,     16:55,     16:59,       4分,       339,       307,       -/-,           -/-/-,           -/-
 13,    清河城,     17:11,     17:15,       4分,       355,       318,       -/-,           -/-/-,           -/-
 14,      临西,     17:31,         -,          ,       375,       334,    24.5/-,  58.5/61.5/63.5,           -/-
