   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      丹东,         -,     12:47,         -,         -,         -,         -,               -,              -
  2,    五龙背,     13:08,     13:11,      03分,        21,         0,       7/-,        53/56/60,          78/88
  3,    凤凰城,     13:44,     13:52,      08分,        57,         0,       9/-,        55/58/63,        84.5/96
  4,    通远堡,     14:41,     14:44,      03分,       114,         0,    16.5/-,      62.5/65/71,       95.5/108
  5,      本溪,     15:51,     16:01,      10分,       184,         0,    26.5/-,      72.5/76/82,      112.5/127
  6,      沈阳,     17:02,     17:18,      16分,       255,         0,    36.5/-,      82.5/86/94,      127.5/144
  7,    新立屯,     18:50,     18:54,      04分,       363,         0,    48.5/-,     94.5/99/107,      149.5/169
  8,      阜新,     19:59,     20:07,      08分,       432,         0,    56.5/-,   107.5/112/122,      167.5/189
  9,      义县,     21:11,     21:14,      03分,       504,         0,      66/-,     124/129/140,        196/221
 10,    北票南,     21:57,     22:00,      03分,       550,         0,      69/-,     130/135/147,        205/231
 11,      朝阳,     22:40,     22:45,      05分,       593,         0,      75/-,     141/147/160,        222/251
 12,    公营子,     23:54,     23:57,      03分,       667,         0,      82/-,     152/158/172,        240/271
 13,    叶柏寿,     00:19,     00:27,      08分,       692,         0,      86/-,     159/166/180,        251/283
 14,      凌源,     01:27,     01:32,      05分,       760,         0,      86/-,     159/166/180,        251/283
 15,      平泉,     03:18,     03:22,      04分,       871,         0,       0/-,           0/0/0,            0/0
 16,    下板城,     04:40,     04:42,      02分,       953,         0,     101/-,     186/194/210,        298/336
 17,      承德,     05:21,     05:45,      24分,       994,         0,     105/-,     193/201/218,        310/350
 18,  鹰手营子,     07:17,     07:21,      04分,      1110,         0,   113.5/-,   207.5/216/235,      333.5/376
 19,    兴隆县,     07:47,     07:50,      03分,      1140,         0,   113.5/-,   207.5/216/235,      333.5/376
 20,    密云北,     09:05,     09:26,      21分,      1218,         0,   121.5/-,   221.5/230/250,      355.5/401
 21,      怀柔,     09:48,     09:51,      03分,      1261,         0,   124.5/-,   227.5/237/257,      364.5/411
 22,      顺义,     10:13,     10:16,      03分,      1286,         0,   124.5/-,   227.5/237/257,      364.5/411
 23,    通州西,     10:41,     10:44,      03分,      1314,         0,   130.5/-,   236.5/246/267,      380.5/429
 24,      北京,     11:21,     11:21,      00分,      1354,         0,   141.5/-,   241.5/250/270,      385.5/431
