   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      鞍山,         -,     22:58,         -,         -,         -,         -,               -,              -
  2,      海城,     23:28,     23:34,      06分,        30,         0,       7/-,        53/56/60,        79.5/90
  3,      西柳,     23:48,     00:07,      19分,        50,         0,       9/-,        55/58/63,        81.5/92
  4,      盘锦,     01:37,     01:42,      05分,       159,         0,    16.5/-,      62.5/65/71,       95.5/108
  5,    沟帮子,     03:06,     03:11,      05分,       248,         0,    20.5/-,      66.5/70/76,      101.5/115
  6,      锦州,     03:54,     04:04,      10分,       296,         0,    29.5/-,      75.5/79/86,      115.5/131
  7,    葫芦岛,     04:37,     04:40,      03分,       339,         0,    35.5/-,      81.5/85/92,      124.5/141
  8,      兴城,     04:56,     04:59,      03分,       358,         0,    36.5/-,      82.5/86/94,      127.5/144
  9,      绥中,     05:30,     05:33,      03分,       392,         0,    44.5/-,     90.5/94/103,      140.5/159
 10,    山海关,     06:33,     06:49,      16分,       455,         0,    48.5/-,     94.5/99/107,      149.5/169
 11,    秦皇岛,     07:08,     07:15,      07分,       490,         0,    54.5/-,   102.5/107/116,      158.5/179
 12,      昌黎,     07:53,     08:07,      14分,       535,         0,    56.5/-,   107.5/112/122,      167.5/189
 13,      滦县,     08:34,     08:45,      11分,       576,         0,      63/-,     120/125/136,        188/212
 14,    唐山北,     09:25,     09:34,      09分,       627,         0,      69/-,     130/135/147,        205/231
 15,      燕郊,     11:11,     11:16,      05分,       733,         0,      82/-,     152/158/172,        240/271
 16,      北京,     12:10,     12:10,      00分,       792,         0,      86/-,     159/164/180,        251/283
