   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      榆树,         -,     10:19,          ,         0,         0,       -/-,           -/-/-,           -/-
  2,    新立镇,     10:47,     10:49,       2分,        28,        21,       3/-,        37/40/42,           -/-
  3,    谢家镇,     11:09,     11:11,       2分,        50,        37,       3/-,        37/40/42,           -/-
  4,      舒兰,     11:40,     11:49,       9分,        81,        61,       5/-,        39/42/44,           -/-
  5,      吉舒,     12:12,     12:15,       3分,       113,        82,       6/-,        40/43/45,           -/-
  6,      丰广,     12:26,     12:28,       2分,       127,        92,     7.5/-,  41.5/44.5/46.5,           -/-
  7,      前窑,     12:40,     12:42,       2分,       141,       103,     7.5/-,  41.5/44.5/46.5,           -/-
  8,    大口钦,     12:50,     12:52,       2分,       151,       108,     7.5/-,  41.5/44.5/46.5,           -/-
  9,      亚复,     13:05,     13:07,       2分,       166,       121,     9.5/-,  43.5/46.5/48.5,           -/-
 10,      吉林,     13:42,     13:49,       7分,       203,       151,    11.5/-,  45.5/48.5/50.5,           -/-
 11,    桦皮厂,     14:16,     14:18,       2分,       237,       186,    13.5/-,  47.5/50.5/52.5,           -/-
 12,      左家,     14:29,     14:30,       1分,       250,       201,    16.5/-,  50.5/53.5/55.5,           -/-
 13,    土们岭,     14:38,     14:40,       2分,       259,       206,    16.5/-,  50.5/53.5/55.5,           -/-
 14,      营城,     14:53,     15:23,      30分,       274,       220,    16.5/-,  50.5/53.5/55.5,           -/-
 15,      九台,     15:31,     15:36,       5分,       312,       227,    18.5/-,  52.5/55.5/57.5,           -/-
 16,      卡伦,     15:57,     16:00,       3分,       338,       254,    19.5/-,  53.5/56.5/58.5,           -/-
 17,      长春,     16:38,         -,          ,       379,       279,    20.5/-,  54.5/57.5/59.5,           -/-
