   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      松原,         -,     06:05,          ,         0,         0,       -/-,           -/-/-,           -/-
  2,    大安北,     06:54,     06:56,       2分,        49,        32,    10.5/-,  56.5/61.5/64.5,     85.5/91.5
  3,      通辽,     09:50,     09:56,       6分,       225,       270,    36.5/-,  82.5/87.5/90.5,   127.5/133.5
  4,    甘旗卡,     10:47,     10:49,       2分,       282,       346,    45.5/-,  91.5/96.5/99.5,   143.5/149.5
  5,      彰武,     11:31,     11:33,       2分,       326,       412,    54.5/-,102.5/106.5/109.5,   158.5/166.5
  6,    新立屯,     12:12,     12:14,       2分,      1807,       540,       -/-,           -/-/-,           -/-
  7,    大虎山,     12:58,     13:01,       3分,       413,       526,      66/-,     124/129/133,       196/205
  8,      锦州,     14:09,     14:21,      12分,       484,       632,      75/-,     141/145/150,       222/233
  9,    葫芦岛,     14:55,     14:58,       3分,       530,       682,      82/-,     152/157/163,       240/252
 10,      绥中,     15:42,     15:44,       2分,       577,       751,      90/-,     166/172/178,       262/273
 11,    山海关,     16:31,     16:37,       6分,       626,       816,      93/-,     172/178/184,       273/285
 12,      抚宁,     17:17,     17:19,       2分,       672,       864,     101/-,     186/192/200,       298/311
 13,      唐山,     18:39,     18:42,       3分,       754,       989,   113.5/-,207.5/215.5/222.5,   333.5/348.5
 14,      塘沽,     19:30,     19:32,       2分,       805,      1072,   121.5/-,221.5/229.5/238.5,   355.5/371.5
 15,      天津,     20:12,     20:18,       6分,       847,      1112,   124.5/-,227.5/235.5/244.5,   364.5/381.5
 16,    廊坊北,     21:05,     21:09,       4分,       900,      1175,   130.5/-,236.5/245.5/254.5,   380.5/397.5
 17,      北京,     22:12,         -,          ,       967,      1324,   134.5/-,243.5/252.5/261.5,   391.5/409.5
