   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    塔尔气,         -,     14:00,          ,         0,         0,       -/-,           -/-/-,           -/-
  2,    新绰源,     15:19,     15:22,       3分,        79,        50,       -/-,           -/-/-,           -/-
  3,    石门子,     16:21,     16:37,      16分,       141,        84,       -/-,           -/-/-,           -/-
  4,      沟口,     17:44,     17:46,       2分,       224,       126,       -/-,           -/-/-,           -/-
  5,    博克图,     18:04,     18:10,       6分,       244,       138,       -/-,           -/-/-,           -/-
  6,    兴安岭,     18:43,     18:45,       2分,       283,       163,       -/-,           -/-/-,           -/-
  7,    西岭口,     19:08,     19:10,       2分,       308,       181,       -/-,           -/-/-,           -/-
  8,    乌奴耳,     19:30,     19:32,       2分,       330,       203,       -/-,           -/-/-,           -/-
  9,    免渡河,     19:58,     20:00,       2分,       358,       233,       -/-,           -/-/-,           -/-
 10,    牙克石,     20:27,     20:30,       3分,       387,       266,       -/-,           -/-/-,           -/-
 11,    海拉尔,     21:57,         -,          ,       477,       348,    21.5/-,           -/-/-,           -/-
