   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    长治北,         -,     07:55,         -,         -,         -,         -,               -,              -
  2,      潞城,     08:17,     08:19,      02分,        22,         0,       1/-,           -/-/-,            -/-
  3,      黎城,     09:37,     09:39,      02分,       102,         0,       3/-,           -/-/-,            -/-
  4,      悬钟,     11:06,     11:08,      02分,       191,         0,     6.5/-,           -/-/-,            -/-
  5,      涉县,     11:31,     11:34,      03分,       216,         0,     6.5/-,           -/-/-,            -/-
  6,      井店,     11:46,     11:47,      01分,       231,         0,     7.5/-,           -/-/-,            -/-
  7,      豆庄,     12:27,     12:29,      02分,       272,         0,     8.5/-,           -/-/-,            -/-
  8,      阳邑,     12:39,     12:41,      02分,       284,         0,     9.5/-,           -/-/-,            -/-
  9,    什里店,     12:52,     12:54,      02分,       297,         0,     9.5/-,           -/-/-,            -/-
 10,    新固镇,     13:04,     13:06,      02分,       309,         0,       0/-,           -/-/-,            -/-
 11,    徘徊北,     13:15,     13:17,      02分,       320,         0,    10.5/-,           -/-/-,            -/-
 12,      磁山,     13:38,     13:51,      13分,       343,         0,    11.5/-,           -/-/-,            -/-
 13,      午汲,     14:02,     14:04,      02分,       367,         0,    11.5/-,           -/-/-,            -/-
 14,      武安,     14:13,     14:15,      02分,       378,         0,    11.5/-,           -/-/-,            -/-
 15,      邯郸,     15:20,     15:20,      00分,       445,         0,    14.5/-,           -/-/-,            -/-
