   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      太原,         -,     19:10,          ,         0,         0,       -/-,           -/-/-,           -/-
  2,      榆次,     19:31,     19:36,       5分,        21,        27,       7/-,        53/58/61,     78.5/84.5
  3,      太谷,     20:03,     20:05,       2分,        53,        63,    10.5/-,  56.5/61.5/64.5,     85.5/91.5
  4,      祁县,     20:23,     20:25,       2分,        73,        86,    12.5/-,  58.5/63.5/66.5,     88.5/94.5
  5,      平遥,     20:40,     20:44,       4分,        90,       108,    14.5/-,    60/65.5/68.5,    94.5/100.5
  6,      介休,     21:09,     21:13,       4分,       119,       139,    18.5/-,  64.5/69.5/72.5,    99.5/105.5
  7,      灵石,     21:38,     21:40,       2分,       148,       166,    21.5/-,  67.5/72.5/75.5,   105.5/111.5
  8,      霍州,     22:16,     22:18,       2分,       186,       209,    29.5/-,  75.5/80.5/83.5,   115.5/121.5
  9,      洪洞,     22:56,     22:58,       2分,       226,       251,    35.5/-,  81.5/86.5/89.5,   124.5/130.5
 10,      临汾,     23:21,     23:27,       6分,       251,       274,    36.5/-,  82.5/87.5/90.5,   127.5/133.5
 11,      侯马,     00:16,     00:20,       4分,       310,       334,      45/-,        91/96/99,       141/147
 12,      稷山,     00:49,     00:51,       2分,       339,       370,    47.5/-, 93.5/98.5/101.5,   146.5/152.5
 13,      河津,     01:14,     01:16,       2分,       364,       396,    48.5/-, 94.5/99.5/102.5,   149.5/155.5
 14,      韩城,     02:06,     02:18,      12分,       416,       439,    56.5/-,107.5/111.5/114.5,   167.5/174.5
 15,    合阳北,     03:01,     03:04,       3分,       471,       481,      63/-,     120/123/127,       188/195
 16,      西安,     05:52,     06:12,      20分,       642,       658,      82/-,     152/157/163,       240/252
 17,      武功,     06:59,     07:02,       3分,       709,       731,       -/-,           -/-/-,           -/-
 18,      宝鸡,     08:44,     08:52,       8分,       818,       852,      98/-,     180/186/194,       287/301
 19,      天水,     10:13,     10:19,       6分,       951,       986,   113.5/-,207.5/215.5/222.5,   333.5/348.5
 20,      甘谷,     11:01,     11:03,       2分,       951,      1053,       -/-,           -/-/-,           -/-
 21,      陇西,     11:52,     11:58,       6分,      1002,      1132,   130.5/-,236.5/245.5/254.5,   380.5/397.5
 22,      定西,     12:54,     12:56,       2分,      1064,      1216,   134.5/-,243.5/252.5/261.5,   391.5/409.5
 23,      兰州,     14:37,     14:52,      15分,      1167,      1334,   148.5/-,268.5/278.5/287.5,   430.5/450.5
 24,    兰州西,     15:04,         -,          ,      1194,      1344,   152.5/-,272.5/284.5/291.5,   434.5/454.5
