   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      洛阳,         -,     06:34,          ,         0,         0,       -/-,           -/-/-,           -/-
  2,    洛阳东,     06:42,     06:46,       4分,         8,         5,       1/-,           -/-/-,           -/-
  3,      孟津,     07:13,     07:18,       5分,        39,        23,       2/-,           -/-/-,           -/-
  4,      白合,     07:30,     07:56,      26分,        56,        31,       2/-,           -/-/-,           -/-
  5,      王庄,     08:04,     08:09,       5分,        90,        38,       2/-,           -/-/-,           -/-
  6,      留庄,     08:31,     08:34,          ,        86,        48,       3/-,           -/-/-,           -/-
  7,      轵城,     08:56,     09:00,          ,       111,        66,       4/-,           -/-/-,           -/-
  8,      济源,     09:09,     09:30,          ,       124,        75,       4/-,           -/-/-,           -/-
  9,    盘古寺,     09:42,     09:44,          ,       157,        88,       5/-,           -/-/-,           -/-
 10,      磨滩,     10:18,     10:20,          ,       193,       112,     7.5/-,           -/-/-,           -/-
 11,      阳城,     10:50,     10:52,          ,       225,       132,     8.5/-,           -/-/-,           -/-
 12,      嘉峰,     11:11,         -,          ,       277,       144,     9.5/-,           -/-/-,           -/-
