   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    兰州西,         -,     10:48,         -,         -,         -,         -,               -,              -
  2,      兰州,     11:00,     11:21,      21分,        12,         0,       6/-,        52/54/59,          76/86
  3,    白银西,     13:11,     13:15,      04分,       143,         0,    13.5/-,      59.5/62/68,       90.5/102
  4,      景泰,     14:40,     14:42,      02分,       232,         0,    25.5/-,      71.5/75/81,      110.5/125
  5,      中卫,     16:49,     16:58,      09分,       361,         0,    40.5/-,      86.5/90/98,      134.5/152
  6,      中宁,     17:38,     17:41,      03分,       410,         0,    45.5/-,     91.5/95/104,      143.5/162
  7,    青铜峡,     18:31,     18:34,      03分,       463,         0,    54.5/-,   102.5/107/116,      158.5/179
  8,      银川,     19:51,     19:59,      08分,       543,         0,      61/-,     115/120/130,        178/201
  9,    石嘴山,     20:37,     20:45,      08分,       589,         0,      66/-,     124/129/140,        196/221
 10,      惠农,     21:55,     22:10,      15分,       667,         0,      69/-,     130/135/147,        205/231
 11,    乌海西,     22:30,     22:34,      04分,       702,         0,      72/-,     135/141/153,        213/240
 12,      乌海,     22:57,     23:07,      10分,       729,         0,      75/-,     141/147/160,        222/251
 13,  巴彦高勒,     00:13,     00:16,      03分,       805,         0,      86/-,     159/166/180,        251/283
 14,      临河,     01:05,     01:17,      12分,       857,         0,      90/-,     166/173/188,        262/296
 15,      五原,     01:57,     02:00,      03分,       909,         0,      98/-,     180/187/204,        287/324
 16,乌拉特前旗,     02:36,     02:42,      06分,       948,         0,     101/-,     186/194/210,        298/336
 17,      包头,     04:05,     04:13,      08分,      1037,         0,   113.5/-,   207.5/216/235,      333.5/376
 18,    包头东,     04:28,     04:32,      04分,      1060,         0,   113.5/-,   207.5/216/235,      333.5/376
 19,    察素齐,     05:28,     05:30,      02分,      1120,         0,   124.5/-,   227.5/237/257,      364.5/411
 20,  呼和浩特,     06:03,     06:03,      00分,      1155,         0,   130.5/-,   236.5/246/267,      380.5/429
