   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      天津,         -,     07:01,         -,         -,         -,         -,               -,              -
  2,    天津西,     07:18,     07:20,      02分,        17,         0,       2/-,           -/-/-,            -/-
  3,    杨柳青,     07:31,     07:33,      02分,        30,         0,       2/-,           -/-/-,            -/-
  4,      静海,     07:51,     07:54,      03分,        50,         0,       3/-,           -/-/-,            -/-
  5,      青县,     08:25,     08:28,      03分,        84,         0,       5/-,           -/-/-,            -/-
  6,      沧州,     08:48,     08:51,      03分,       107,         0,     7.5/-,           -/-/-,            -/-
  7,      泊头,     09:15,     09:18,      03分,       134,         0,    10.5/-,           -/-/-,            -/-
  8,      东光,     09:32,     09:35,      03分,       151,         0,    11.5/-,           -/-/-,            -/-
  9,      吴桥,     09:59,     10:02,      03分,       178,         0,    14.5/-,           -/-/-,            -/-
 10,      龙华,     11:19,     11:22,      03分,       258,         0,    19.5/-,           -/-/-,            -/-
 11,      衡水,     11:49,     11:57,      08分,       288,         0,    20.5/-,           -/-/-,            -/-
 12,      辛集,     12:31,     12:33,      02分,       330,         0,    24.5/-,           -/-/-,            -/-
 13,      晋州,     12:48,     12:50,      02分,       347,         0,    25.5/-,           -/-/-,            -/-
 14,  石家庄北,     13:39,     13:59,      20分,       398,         0,    30.5/-,           -/-/-,            -/-
 15,      临城,     15:00,     15:02,      02分,       479,         0,      33/-,           -/-/-,            -/-
 16,      邢台,     15:32,     15:36,      04分,       511,         0,      37/-,           -/-/-,            -/-
 17,    沙河市,     15:53,     16:26,      33分,       532,         0,      38/-,           -/-/-,            -/-
 18,      邯郸,     16:51,     16:57,      06分,       590,         0,      38/-,           -/-/-,            -/-
 19,      康城,     17:28,     17:32,      04分,       627,         0,      40/-,           -/-/-,            -/-
 20,      武安,     17:45,     17:53,      08分,       644,         0,      40/-,           -/-/-,            -/-
 21,      磁山,     18:13,     18:19,      06分,       672,         0,      42/-,           -/-/-,            -/-
 22,      阳邑,     18:55,     18:59,      04分,       714,         0,      44/-,           -/-/-,            -/-
 23,      井店,     19:31,     19:35,      04分,       750,         0,      45/-,           -/-/-,            -/-
 24,      涉县,     19:45,     19:45,      00分,       764,         0,      45/-,           -/-/-,            -/-
