   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      曹县,         -,     09:06,          ,         0,         0,       -/-,           -/-/-,           -/-
  2,      定陶,     09:23,     09:25,       2分,        17,        69,       7/-,        53/58/61,         78/84
  3,      菏泽,     09:42,     09:52,      10分,        36,        90,       9/-,        55/60/63,     81.5/87.5
  4,      巨野,     10:40,     10:46,       6分,        94,       148,    14.5/-,  60.5/65.5/68.5,    94.5/100.5
  5,      嘉祥,     11:03,     11:08,       5分,       117,       173,    18.5/-,  64.5/69.5/72.5,    99.5/105.5
  6,      济宁,     11:25,     11:30,       5分,       139,       197,    20.5/-,  66.5/71.5/74.5,   102.5/108.5
  7,      兖州,     12:02,     12:36,      34分,       176,       229,    25.5/-,  71.5/76.5/79.5,   110.5/116.5
  8,      磁窑,     13:16,     13:25,       9分,       250,       278,    32.5/-,  78.5/83.5/86.5,   120.5/126.5
  9,      泰山,     13:50,     13:53,       3分,       284,       312,    36.5/-,  82.5/87.5/90.5,   127.5/133.5
 10,      济南,     14:51,     15:12,      21分,       345,       385,    45.5/-,  91.5/96.5/99.5,   143.5/149.5
 11,      淄博,     16:27,     16:31,       4分,       441,       495,    56.5/-,107.5/111.5/114.5,   167.5/174.5
 12,      潍坊,     17:35,     17:39,       4分,       509,       595,      69/-,     130/135/139,       205/214
 13,      胶州,     18:44,     18:47,       3分,       578,       705,      80/-,     147/153/158,       232/242
 14,      蓝村,     19:03,     19:16,      13分,       597,       726,      82/-,     152/157/163,       240/252
 15,    青岛北,     19:44,     19:47,       3分,       638,       763,      86/-,     159/164/170,       241/263
 16,      青岛,     20:10,         -,          ,       664,       736,      86/-,     159/164/170,       251/263
