   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      通辽,         -,     08:05,         -,         -,         -,         -,               -,              -
  2,    哲里木,     08:22,     08:26,      04分,        17,         0,       0/-,           0/0/0,            0/0
  3,      福巨,     08:56,     08:57,      01分,        51,         0,       0/-,           0/0/0,            0/0
  4,    金家店,     09:18,     09:19,      01分,        73,         0,       0/-,           0/0/0,            0/0
  5,      开鲁,     09:38,     09:40,      02分,        93,         0,       0/-,           0/0/0,            0/0
  6,    沙日乃,     10:38,     10:39,      01分,       153,         0,       0/-,           0/0/0,            0/0
  7,    福兴地,     11:24,     11:25,      01分,       199,         0,       0/-,           0/0/0,            0/0
  8,    查布嘎,     11:50,     11:52,      02分,       225,         0,       0/-,           0/0/0,            0/0
  9,    衙门庙,     13:17,     13:18,      01分,       312,         0,       0/-,           0/0/0,            0/0
 10,      林东,     13:38,     13:40,      02分,       333,         0,       0/-,           0/0/0,            0/0
 11,    宝木吐,     15:13,     15:14,      01分,       428,         0,       0/-,           0/0/0,            0/0
 12,      大板,     15:37,     15:49,      12分,       452,         0,       0/-,           0/0/0,            0/0
 13,    平顶庙,     16:13,     17:00,      47分,       488,         0,       0/-,           0/0/0,            0/0
 14,  温都和硕,     17:16,     17:17,      01分,       551,         0,       0/-,           0/0/0,            0/0
 15,      林西,     17:31,     17:33,      02分,       566,         0,       0/-,           0/0/0,            0/0
 16,    宇宙地,     17:49,     17:50,      01分,       584,         0,       0/-,           0/0/0,            0/0
 17,嘎拉德斯汰,     18:12,     18:14,      02分,       607,         0,       0/-,           0/0/0,            0/0
 18,    六地沟,     18:39,     18:40,      01分,       634,         0,       0/-,           0/0/0,            0/0
 19,      上店,     18:51,     18:52,      01分,       646,         0,       0/-,           0/0/0,            0/0
 20,    下坑子,     19:17,     19:29,      12分,       672,         0,       0/-,           0/0/0,            0/0
 21,      经棚,     19:41,     19:43,      02分,       696,         0,       0/-,           0/0/0,            0/0
 22,    马架子,     20:07,     20:08,      01分,       722,         0,       0/-,           0/0/0,            0/0
 23,    好鲁库,     21:11,     21:12,      01分,       786,         0,       0/-,           0/0/0,            0/0
 24,  桑根达来,     00:10,     00:17,      07分,      -475,         0,       0/-,           0/0/0,            0/0
 25,  正镶白旗,     03:15,     03:21,      06分,      -290,         0,       0/-,           0/0/0,            0/0
 26,      兴和,     04:11,     04:12,      01分,      -234,         0,       0/-,           0/0/0,            0/0
 27,      保健,     04:31,     04:32,      01分,      -214,         0,       0/-,           0/0/0,            0/0
 28,      化德,     05:01,     05:03,      02分,      -184,         0,       0/-,           0/0/0,            0/0
 29,    二道沟,     05:22,     05:23,      01分,      -163,         0,       0/-,           0/0/0,            0/0
 30,      商都,     05:54,     05:56,      02分,      -131,         0,       0/-,           0/0/0,            0/0
 31,      贲红,     07:33,     07:34,      01分,       -32,         0,      51/-,     115/120/130,           -/-
 32,   大陆号,     07:47,     07:49,      02分,       -18,         0,      51/-,     115/120/130,           -/-
 33,    七苏木,     08:07,     08:09,      02分,         2,         0,       0/-,           0/0/0,            0/0
 34,    集宁南,     08:28,     08:28,      00分,      1463,         0,       0/-,           0/0/0,            0/0
