   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      鹤岗,         -,     17:30,         -,         -,         -,         -,               -,              -
  2,      峻德,     18:08,     18:16,      08分,        38,         0,       2/-,        36/38/41,          52/59
  3,      新华,     18:28,     18:31,      03分,        58,         0,       3/-,        37/39/42,          53/60
  4,      鹤立,     18:40,     18:43,      03分,        70,         0,       3/-,        37/39/42,          54/61
  5,    半截河,     18:54,     18:56,      02分,        84,         0,       0/-,           0/0/0,            0/0
  6,    莲江口,     19:09,     19:12,      03分,        99,         0,       4/-,        38/40/43,        57.5/65
  7,    佳木斯,     19:30,     20:06,      36分,       120,         0,       5/-,        39/41/44,        58.5/66
  8,    长发屯,     20:18,     20:25,      07分,       168,         0,       0/-,           0/0/0,            0/0
  9,    申家店,     20:47,     20:54,      07分,       197,         0,       0/-,           0/0/0,            0/0
 10,    孟家岗,     21:12,     21:16,      04分,       222,         0,     9.5/-,      43.5/46/50,        65.5/74
 11,      桦南,     21:36,     21:50,      14分,       246,         0,    11.5/-,      45.5/48/52,        68.5/78
 12,    通天屯,     23:22,     23:30,      08分,       352,         0,       0/-,           0/0/0,            0/0
 13,      佛岭,     23:47,     23:57,      10分,       377,         0,       0/-,           0/0/0,            0/0
 14,      虎山,     00:09,     00:13,      04分,     -1041,         0,       0/-,           0/0/0,            0/0
 15,    古城镇,     01:21,     01:25,      04分,      -969,         0,    21.5/-,      55.5/58/63,        85.5/97
 16,      林口,     01:37,     01:52,      15分,      -953,         0,    21.5/-,      55.5/58/63,        85.5/97
 17,      柴河,     04:05,     04:08,      03分,      -805,         0,    26.5/-,      60.5/63/69,       95.5/108
 18,      桦林,     04:21,     04:24,      03分,      -789,         0,    27.5/-,      61.5/64/70,       97.5/110
 19,    牡丹江,     04:45,     04:59,      14分,      -765,         0,    27.5/-,      61.5/64/70,       97.5/110
 20,      温春,     05:20,     05:22,      02分,      -730,         0,    30.5/-,      65.5/68/74,      102.5/116
 21,      宁安,     05:32,     05:35,      03分,      -718,         0,    31.5/-,      68.5/72/78,      108.5/123
 22,    东京城,     06:07,     06:07,      00分,      -683,         0,      33/-,        72/75/82,        114/129
