   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    哈尔滨,         -,     18:16,         -,         -,         -,         -,               -,              -
  2,      滨江,     18:23,     18:38,      15分,         7,         0,       1/-,           -/-/-,            -/-
  3,      徐家,     18:59,     19:01,      02分,        43,         0,       1/-,           -/-/-,            -/-
  4,      呼兰,     19:13,     19:15,      02分,        57,         0,       2/-,           -/-/-,            -/-
  5,      沈家,     19:31,     19:33,      02分,        75,         0,       3/-,           -/-/-,            -/-
  6,    康金井,     19:46,     19:48,      02分,        90,         0,       3/-,           -/-/-,            -/-
  7,    石人城,     20:02,     20:04,      02分,       106,         0,       4/-,           -/-/-,            -/-
  8,    白奎堡,     20:17,     20:19,      02分,       121,         0,       5/-,           -/-/-,            -/-
  9,    兴隆镇,     20:32,     20:34,      02分,       136,         0,     6.5/-,           -/-/-,            -/-
 10,    万发屯,     20:49,     20:51,      02分,       153,         0,     6.5/-,           -/-/-,            -/-
 11,      绥化,     21:09,     21:09,      00分,       173,         0,     8.5/-,           -/-/-,            -/-
