   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,  上海虹桥,         -,     16:47,         -,         -,         -,         -,               -,              -
  2,    松江南,     17:01,     17:03,      02分,        14,         0,    13.5/-,           -/-/-,            -/-
  3,    嘉兴南,     17:21,     17:23,      02分,        34,         0,    38.5/-,           -/-/-,            -/-
  4,      桐乡,     17:34,     17:36,      02分,        47,         0,    50.5/-,           -/-/-,            -/-
  5,    杭州东,     17:53,     17:55,      02分,        66,         0,      73/-,           -/-/-,            -/-
  6,    绍兴北,     18:14,     18:16,      02分,        87,         0,    92.5/-,           -/-/-,            -/-
  7,    上虞北,     18:27,     18:29,      02分,       100,         0,     107/-,           -/-/-,            -/-
  8,      宁波,     18:55,     19:07,      12分,       128,         0,     144/-,           -/-/-,            -/-
  9,      宁海,     19:34,     19:36,      02分,       167,         0,     166/-,           -/-/-,            -/-
 10,      台州,     20:06,     20:08,      02分,       199,         0,   189.5/-,           -/-/-,            -/-
 11,      温岭,     20:19,     20:21,      02分,       212,         0,     197/-,           -/-/-,            -/-
 12,    温州南,     20:58,     21:00,      02分,       251,         0,     226/-,           -/-/-,            -/-
 13,      瑞安,     21:11,     21:13,      02分,       264,         0,   232.5/-,           -/-/-,            -/-
 14,      鳌江,     21:24,     21:26,      02分,       277,         0,     237/-,           -/-/-,            -/-
 15,      苍南,     21:37,     21:37,      00分,       290,         0,   242.5/-,           -/-/-,            -/-
