   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    厦门北,         -,     16:15,         -,         -,         -,         -,               -,              -
  2,      晋江,     16:33,     16:35,      02分,        18,         0,    12.5/-,           -/-/-,            -/-
  3,      泉州,     16:46,     16:48,      02分,        31,         0,    20.5/-,           -/-/-,            -/-
  4,      莆田,     17:13,     17:15,      02分,        58,         0,    40.5/-,           -/-/-,            -/-
  5,      福清,     17:34,     17:37,      03分,        79,         0,    55.5/-,           -/-/-,            -/-
  6,      福州,     18:03,     18:07,      04分,       108,         0,    71.5/-,           -/-/-,            -/-
  7,    南平北,     18:41,     18:44,      03分,       146,         0,     127/-,           -/-/-,            -/-
  8,    建瓯西,     19:00,     19:03,      03分,       165,         0,   151.5/-,           -/-/-,            -/-
  9,  武夷山北,     19:26,     19:29,      03分,       191,         0,     191/-,           -/-/-,            -/-
 10,      上饶,     19:51,     19:56,      05分,       216,         0,   227.5/-,           -/-/-,            -/-
 11,      衢州,     20:27,     20:31,      04分,       252,         0,   274.5/-,           -/-/-,            -/-
 12,      龙游,     20:42,     20:44,      02分,       267,         0,     288/-,           -/-/-,            -/-
 13,      金华,     20:59,     21:01,      02分,       284,         0,   309.5/-,           -/-/-,            -/-
 14,      义乌,     21:17,     21:19,      02分,       302,         0,     331/-,           -/-/-,            -/-
 15,    杭州东,     21:52,     21:55,      03分,       337,         0,     376/-,           -/-/-,            -/-
 16,    嘉兴南,     22:18,     22:20,      02分,       363,         0,   410.5/-,           -/-/-,            -/-
 17,  上海虹桥,     22:47,     22:47,      00分,       392,         0,     449/-,           -/-/-,            -/-
