   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      苍南,         -,     11:44,         -,         -,         -,         -,               -,              -
  2,      瑞安,     11:58,     12:00,      02分,        14,         0,     9.5/-,           -/-/-,            -/-
  3,    温州南,     12:14,     12:16,      02分,        30,         0,    16.5/-,           -/-/-,            -/-
  4,      温岭,     12:51,     12:53,      02分,        67,         0,    45.5/-,           -/-/-,            -/-
  5,      台州,     13:04,     13:06,      02分,        80,         0,    52.5/-,           -/-/-,            -/-
  6,      临海,     13:17,     13:19,      02分,        93,         0,    59.5/-,           -/-/-,            -/-
  7,      宁海,     13:41,     13:43,      02分,       117,         0,    76.5/-,           -/-/-,            -/-
  8,      宁波,     14:14,     14:17,      03分,       150,         0,     105/-,           -/-/-,            -/-
  9,    上虞北,     14:43,     14:45,      02分,       179,         0,   135.5/-,           -/-/-,            -/-
 10,    绍兴北,     14:56,     14:58,      02分,       192,         0,   149.5/-,           -/-/-,            -/-
 11,    杭州东,     15:17,     15:19,      02分,       213,         0,   169.5/-,           -/-/-,            -/-
 12,      桐乡,     15:36,     15:38,      02分,       232,         0,     191/-,           -/-/-,            -/-
 13,    嘉兴南,     15:49,     15:51,      02分,       245,         0,     204/-,           -/-/-,            -/-
 14,    金山北,     16:05,     16:10,      05分,       261,         0,   220.5/-,           -/-/-,            -/-
 15,  上海虹桥,     16:29,     16:29,      00分,       285,         0,   242.5/-,           -/-/-,            -/-
