   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      荣成,         -,     08:40,         -,         -,         -,         -,               -,              -
  2,    文登东,     08:52,     08:53,      01分,        12,         0,       6/-,           -/-/-,            -/-
  3,      威海,     09:06,     09:08,      02分,        26,         0,       6/-,           -/-/-,            -/-
  4,      牟平,     09:29,     09:30,      01分,        49,         0,       0/-,           -/-/-,            -/-
  5,    烟台南,     09:41,     09:43,      02分,        61,         0,      35/-,           -/-/-,            -/-
  6,    桃村北,     10:01,     10:03,      02分,        81,         0,    46.5/-,           -/-/-,            -/-
  7,      莱阳,     10:24,     10:27,      03分,       104,         0,    61.5/-,           -/-/-,            -/-
  8,      高密,     11:18,     11:19,      01分,       158,         0,   105.5/-,           -/-/-,            -/-
  9,      潍坊,     11:47,     11:49,      02分,       187,         0,     132/-,           -/-/-,            -/-
 10,      昌乐,     12:01,     12:02,      01分,       201,         0,     139/-,           -/-/-,            -/-
 11,      淄博,     12:30,     12:32,      02分,       230,         0,   162.5/-,           -/-/-,            -/-
 12,      济南,     13:19,     13:21,      02分,       279,         0,   205.5/-,           -/-/-,            -/-
 13,    济南西,     13:37,     13:39,      02分,       297,         0,   205.5/-,           -/-/-,            -/-
 14,    德州东,     14:03,     14:04,      01分,       323,         0,     248/-,           -/-/-,            -/-
 15,    北京南,     15:18,     15:18,      00分,       398,         0,     392/-,           -/-/-,            -/-
