   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    重庆北,         -,     08:17,         -,         -,         -,         -,               -,              -
  2,    长寿北,     08:46,     08:48,      02分,        29,         0,      20/-,           -/-/-,            -/-
  3,      丰都,     09:15,     09:17,      02分,        58,         0,    39.5/-,           -/-/-,            -/-
  4,    石柱县,     09:37,     09:39,      02分,        80,         0,    53.5/-,           -/-/-,            -/-
  5,      恩施,     10:44,     10:48,      04分,       147,         0,    99.5/-,           -/-/-,            -/-
  6,      建始,     11:10,     11:12,      02分,       173,         0,   109.5/-,           -/-/-,            -/-
  7,    宜昌东,     12:39,     12:43,      04分,       262,         0,     162/-,           -/-/-,            -/-
  8,      荆州,     13:15,     13:17,      02分,       298,         0,     188/-,           -/-/-,            -/-
  9,      潜江,     13:43,     13:46,      03分,       326,         0,   208.5/-,           -/-/-,            -/-
 10,    天门南,     14:06,     14:09,      03分,       349,         0,   223.5/-,           -/-/-,            -/-
 11,      汉川,     14:25,     14:27,      02分,       368,         0,     234/-,           -/-/-,            -/-
 12,      汉口,     14:53,     15:09,      16分,       396,         0,   247.5/-,           -/-/-,            -/-
 13,    信阳东,     16:00,     16:02,      02分,       463,         0,   336.5/-,           -/-/-,            -/-
 14,    郑州东,     17:12,     17:15,      03分,       535,         0,   490.5/-,           -/-/-,            -/-
 15,    安阳东,     17:56,     17:58,      02分,       579,         0,   563.5/-,           -/-/-,            -/-
 16,    邢台东,     18:26,     18:28,      02分,       609,         0,   610.5/-,           -/-/-,            -/-
 17,    石家庄,     18:56,     18:59,      03分,       639,         0,   660.5/-,           -/-/-,            -/-
 18,    涿州东,     19:51,     19:55,      04分,       694,         0,   744.5/-,           -/-/-,            -/-
 19,    北京西,     20:20,     20:20,      00分,       723,         0,   767.5/-,           -/-/-,            -/-
