   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    北京南,         -,     13:45,         -,         -,         -,         -,               -,              -
  2,    天津南,     14:19,     14:22,      03分,        34,         0,    54.5/-,           -/-/-,            -/-
  3,    德州东,     15:06,     15:12,      06分,        81,         0,   144.5/-,           -/-/-,            -/-
  4,    济南西,     15:36,     15:38,      02分,       111,         0,   184.5/-,           -/-/-,            -/-
  5,      枣庄,     16:28,     16:30,      02分,       163,         0,     284/-,           -/-/-,            -/-
  6,    徐州东,     16:48,     16:51,      03分,       183,         0,     309/-,           -/-/-,            -/-
  7,    蚌埠南,     17:28,     17:34,      06分,       223,         0,     374/-,           -/-/-,            -/-
  8,    南京南,     18:17,     18:19,      02分,       272,         0,   443.5/-,           -/-/-,            -/-
  9,      宜兴,     18:53,     18:55,      02分,       308,         0,     492/-,           -/-/-,            -/-
 10,      湖州,     19:12,     19:14,      02分,       327,         0,   512.5/-,           -/-/-,            -/-
 11,    杭州东,     19:35,     19:41,      06分,       350,         0,   538.5/-,           -/-/-,            -/-
 12,    绍兴北,     19:59,     20:01,      02分,       374,         0,   554.5/-,           -/-/-,            -/-
 13,    余姚北,     20:19,     20:21,      02分,       394,         0,   577.5/-,           -/-/-,            -/-
 14,      宁波,     20:40,     20:40,      00分,       415,         0,   595.5/-,           -/-/-,            -/-
