   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,      南京,         -,     07:35,         -,         -,         -,         -,               -,              -
  2,      镇江,     07:55,     07:57,      02分,        20,         0,    29.5/-,           -/-/-,            -/-
  3,      丹阳,     08:10,     08:12,      02分,        35,         0,    39.5/-,           -/-/-,            -/-
  4,      常州,     08:27,     08:29,      02分,        52,         0,    64.5/-,           -/-/-,            -/-
  5,      惠山,     08:40,     08:41,      01分,        65,         0,    74.5/-,           -/-/-,            -/-
  6,      无锡,     08:49,     08:51,      02分,        74,         0,    74.5/-,           -/-/-,            -/-
  7,      苏州,     09:06,     09:08,      02分,        91,         0,    99.5/-,           -/-/-,            -/-
  8,    昆山南,     09:20,     09:26,      06分,       105,         0,   114.5/-,           -/-/-,            -/-
  9,  上海虹桥,     09:44,     09:46,      02分,       129,         0,   139.5/-,           -/-/-,            -/-
 10,    嘉兴南,     10:14,     10:16,      02分,       159,         0,   178.5/-,           -/-/-,            -/-
 11,    杭州东,     10:40,     10:46,      06分,       185,         0,     211/-,           -/-/-,            -/-
 12,      诸暨,     11:09,     11:11,      02分,       214,         0,   241.5/-,           -/-/-,            -/-
 13,      金华,     11:36,     11:38,      02分,       241,         0,     285/-,           -/-/-,            -/-
 14,      衢州,     12:00,     12:00,      00分,       265,         0,   320.5/-,           -/-/-,            -/-
