   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    北京西,         -,     17:03,         -,         -,         -,         -,               -,              -
  2,  高碑店东,     17:33,     17:44,      11分,        30,         0,    37.5/-,           -/-/-,            -/-
  3,    保定东,     18:00,     18:02,      02分,        57,         0,    63.5/-,           -/-/-,            -/-
  4,    石家庄,     18:38,     18:41,      03分,        95,         0,   128.5/-,           -/-/-,            -/-
  5,    邢台东,     19:09,     19:11,      02分,       126,         0,   185.5/-,           -/-/-,            -/-
  6,    邯郸东,     19:27,     19:30,      03分,       144,         0,     209/-,           -/-/-,            -/-
  7,    安阳东,     19:47,     19:49,      02分,       164,         0,     236/-,           -/-/-,            -/-
  8,    新乡东,     20:15,     20:17,      02分,       192,         0,     281/-,           -/-/-,            -/-
  9,    郑州东,     20:38,     20:46,      08分,       215,         0,     309/-,           -/-/-,            -/-
 10,      郑州,     21:00,     21:00,      00分,       237,         0,     309/-,           -/-/-,            -/-
