   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    北京南,         -,     09:05,         -,         -,         -,         -,               -,              -
  2,      廊坊,     09:26,     09:28,      02分,        21,         0,    29.5/-,           -/-/-,            -/-
  3,    天津西,     09:47,     09:49,      02分,        42,         0,    54.5/-,           -/-/-,            -/-
  4,      唐山,     10:26,     10:28,      02分,        81,         0,   110.5/-,           -/-/-,            -/-
  5,    北戴河,     10:59,     11:01,      02分,       114,         0,   168.5/-,           -/-/-,            -/-
  6,    秦皇岛,     11:12,     11:15,      03分,       127,         0,     178/-,           -/-/-,            -/-
  7,    绥中北,     11:51,     11:54,      03分,       166,         0,     201/-,           -/-/-,            -/-
  8,  葫芦岛北,     12:16,     12:17,      01分,       191,         0,   218.5/-,           -/-/-,            -/-
  9,    锦州南,     12:33,     12:34,      01分,       208,         0,     231/-,           -/-/-,            -/-
 10,      盘锦,     13:09,     13:11,      02分,       244,         0,   264.5/-,           -/-/-,            -/-
 11,    海城西,     13:33,     13:35,      02分,       268,         0,   294.5/-,           -/-/-,            -/-
 12,    鞍山西,     13:47,     13:49,      02分,       282,         0,   312.5/-,           -/-/-,            -/-
 13,    沈阳南,     14:12,     14:30,      18分,       307,         0,   349.5/-,           -/-/-,            -/-
 14,      本溪,     14:54,     14:56,      02分,       349,         0,   368.5/-,           -/-/-,            -/-
 15,  通远堡西,     15:17,     15:19,      02分,       372,         0,   387.5/-,           -/-/-,            -/-
 16,      丹东,     15:45,     15:45,      00分,       400,         0,   413.5/-,           -/-/-,            -/-
