   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    合肥南,         -,     08:24,          ,         0,         0,       -/-,           -/-/-,           -/-
  2,      全椒,     09:00,     09:02,       2分,        36,       101,   41.5/50,           -/-/-,           -/-
  3,    南京南,     09:24,     09:30,       6分,        60,       157,   60.5/72,           -/-/-,           -/-
  4,      溧水,     09:47,     09:49,       2分,        83,       203,81.5/107.5,           -/-/-,           -/-
  5,      宜兴,     10:11,     10:13,       2分,       107,       286, 119.5/172,           -/-/-,           -/-
  6,      湖州,     10:30,     10:32,       2分,       126,       342, 145.5/215,           -/-/-,           -/-
  7,      德清,     10:44,     10:46,       2分,       140,       378,   162/243,           -/-/-,           -/-
  8,    杭州东,     11:00,     11:07,       7分,       156,       413,   178/270,           -/-/-,           -/-
  9,      诸暨,     11:31,     11:33,       2分,       190,       479, 208.5/321,           -/-/-,           -/-
 10,      义乌,     11:47,     11:49,       2分,       203,       522, 228/354.5,           -/-/-,           -/-
 11,      金华,     12:05,     12:15,      10分,       224,       574, 252/394.5,           -/-/-,           -/-
 12,      江山,     12:45,         -,          ,       261,       682, 300.5/476,           -/-/-,           -/-
