   ,      站名,      到时,      发时,停留（分）,历时（分）,里程（km）, 硬座/软座,硬卧（上/中/下）,  软卧（上/下）
  1,    深圳北,         -,     07:53,         -,         -,         -,         -,               -,              -
  2,    广州南,     08:22,     08:27,      05分,        29,         0,    74.5/-,           -/-/-,            -/-
  3,    郴州西,     09:46,     09:48,      02分,       113,         0,     249/-,           -/-/-,            -/-
  4,    衡阳东,     10:21,     10:23,      02分,       148,         0,   318.5/-,           -/-/-,            -/-
  5,    长沙南,     11:04,     11:07,      03分,       191,         0,   388.5/-,           -/-/-,            -/-
  6,    岳阳东,     11:41,     11:43,      02分,       228,         0,     448/-,           -/-/-,            -/-
  7,      武汉,     12:33,     12:46,      13分,       280,         0,     538/-,           -/-/-,            -/-
  8,  驻马店西,     13:49,     13:51,      02分,       356,         0,   652.5/-,           -/-/-,            -/-
  9,    漯河西,     14:10,     14:20,      10分,       377,         0,   675.5/-,           -/-/-,            -/-
 10,    郑州东,     14:56,     14:59,      03分,       423,         0,   727.5/-,           -/-/-,            -/-
 11,    安阳东,     15:40,     15:43,      03分,       467,         0,     785/-,           -/-/-,            -/-
 12,    邢台东,     16:11,     16:30,      19分,       498,         0,     821/-,           -/-/-,            -/-
 13,    石家庄,     16:58,     17:03,      05分,       545,         0,     860/-,           -/-/-,            -/-
 14,    保定东,     17:38,     17:40,      02分,       585,         0,   898.5/-,           -/-/-,            -/-
 15,    北京西,     18:21,     18:21,      00分,       628,         0,   936.5/-,           -/-/-,            -/-
